Cup,Rep,Block,N0,Temp,Killed,PropKilled,HeadWidth
1,1,1,40,24,38,0.95,5
2,2,1,10,20,10,1,3.9
3,2,1,40,24,18,0.45,3.2
4,1,1,10,28,10,1,2.7
6,1,1,80,28,70,0.875,5.1
7,1,1,40,28,39,0.975,5
11,2,1,80,36,41,0.5125,3.2
12,2,1,80,28,43,0.5375,3.9
13,2,1,40,32,32,0.8,4
15,1,1,10,36,10,1,4.2
16,2,1,40,36,36,0.9,4
17,2,1,60,28,22,0.366666667,3.2
18,1,1,80,20,21,0.2625,3.4
21,1,1,40,20,28,0.7,5
22,1,1,10,20,10,1,4
27,1,1,80,36,64,0.8,5
29,2,1,40,20,5,0.125,3.9
30,2,1,10,28,10,1,3.2
37,1,1,40,36,36,0.9,3.1
42,1,1,20,28,18,0.9,3.2
43,2,1,80,20,30,0.375,4.2
45,1,1,60,28,42,0.7,4.2
46,2,1,20,28,18,0.9,3.3
47,2,1,40,28,40,1,4.7
48,2,1,10,36,10,1,4.1
51,1,1,40,32,40,1,4.8
59,1,2,40,24,24,0.6,3.9
61,1,2,40,36,36,0.9,4
62,3,4,80,28,48,0.6,4.2
63,2,4,20,28,18,0.9,4
75,1,2,80,20,43,0.5375,5
81,1,2,40,28,20,0.5,3.2
84,1,2,40,20,14,0.35,3.4
86,1,2,80,36,57,0.7125,4.4
89,1,2,10,20,10,1,3.9
94,1,2,60,28,28,0.466666667,3.4
98,1,2,40,32,38,0.95,4.9
101,1,2,10,28,10,1,3.2
103,3,4,80,36,41,0.5125,4.3
114,1,2,10,36,10,1,4.9
115,1,2,20,28,14,0.7,3.9
122,3,4,80,20,18,0.225,5
123,1,2,80,28,37,0.4625,4.1
129,2,4,60,28,39,0.65,4.2
161,4,5,40,28,18,0.45,3.7
168,4,5,10,28,10,1,4.5
