Cup,Rep,Block,N0,Temp,Killed,PropKilled,HeadWidth
5,1,1,20,28,19,0.95,3.4
8,2,1,40,28,24,0.6,3.1
9,1,1,40,24,28,0.7,4.3
10,1,1,40,36,30,0.75,3.7
14,1,1,10,28,10,1,4.3
19,2,1,40,24,23,0.575,4.1
20,2,1,80,20,32,0.4,4.1
23,1,1,10,20,8,0.8,3.2
24,1,1,40,20,19,0.475,3.3
25,1,1,80,28,32,0.4,3
26,2,1,40,20,15,0.375,3
28,1,1,40,28,37,0.925,4.9
31,1,1,60,28,33,0.55,4.3
32,2,1,10,36,10,1,4.2
33,1,1,40,32,9,0.225,3
34,2,1,40,36,32,0.8,3.7
35,1,1,10,36,10,1,-
36,2,1,10,20,9,0.9,3.2
38,2,1,10,28,8,0.8,3.4
39,2,1,20,28,18,0.9,4.2
40,1,1,80,20,21,0.2625,4
41,1,1,80,36,27,0.3375,3.3
44,2,1,40,32,36,0.9,4.7
49,2,1,80,36,51,0.6375,4.3
50,2,1,80,28,61,0.7625,4.1
52,2,1,60,28,31,0.516666667,3.4
53,1,2,10,20,8,0.8,3.1
57,1,2,20,28,11,0.55,3.3
58,1,2,80,36,34,0.425,3.6
76,1,2,40,24,15,0.375,4
78,1,2,10,28,5,0.5,3.5
82,1,2,40,36,22,0.55,3.5
83,3,4,80,20,37,0.4625,4.2
85,2,4,20,28,9,0.45,3.1
95,1,2,80,20,16,0.2,4.4
97,1,2,80,28,30,0.375,4.1
104,1,2,40,28,16,0.4,-
105,3,4,80,36,31,0.3875,-
106,1,2,10,36,10,1,5.2
107,1,2,60,28,26,0.433333333,3.9
108,2,4,60,28,24,0.4,3.3
110,3,4,80,28,35,0.4375,4.4
124,1,2,40,20,13,0.325,3.7
130,1,2,40,32,21,0.525,4.1
159,4,5,10,28,9,0.9,3.7
